,status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price
0,no,6,owner,36,58,married,no_rec,fixed,60,390.0,45000.0,0.0,1000,2318
1,no,9,owner,24,45,married,no_rec,fixed,75,112.0,4000.0,0.0,500,1430
2,yes,1,rent,48,37,separated,yes_rec,fixed,46,110.0,0.0,0.0,900,1312
3,no,1,parents,24,19,single,no_rec,fixed,35,28.0,0.0,0.0,400,600
4,no,17,rent,24,50,married,no_rec,freelance,68,79.0,1000.0,0.0,1000,3782
5,no,1,parents,24,29,single,no_rec,partime,35,147.0,0.0,0.0,650,1370
6,no,12,priv,60,38,married,yes_rec,fixed,90,195.0,1500.0,200.0,1150,1310
7,no,11,priv,48,31,married,no_rec,fixed,45,140.0,4000.0,0.0,700,1225
8,yes,14,priv,60,33,married,yes_rec,fixed,90,77.0,3400.0,0.0,1500,1813
9,no,20,priv,60,39,married,no_rec,fixed,90,159.0,2000.0,0.0,750,790
10,no,0,priv,18,27,married,no_rec,fixed,45,60.0,0.0,0.0,750,1050
11,no,4,parents,60,26,single,no_rec,fixed,35,104.0,2500.0,2000.0,1048,1048
12,no,28,rent,48,51,married,no_rec,fixed,112,373.0,15000.0,0.0,1300,2093
13,no,5,rent,48,31,married,no_rec,fixed,70,247.0,0.0,0.0,900,1039
14,no,16,rent,60,36,married,no_rec,fixed,100,250.0,0.0,0.0,1250,1816
15,no,2,other,48,25,single,no_rec,fixed,35,142.0,0.0,0.0,1000,1440
16,no,0,parents,48,19,single,no_rec,partime,35,53.0,0.0,0.0,1250,1310
17,no,20,owner,6,48,married,yes_rec,freelance,35,0.0,14000.0,0.0,500,1351
18,no,11,owner,36,26,married,no_rec,fixed,60,146.0,5000.0,1300.0,400,1206
19,no,5,parents,24,25,single,no_rec,partime,35,111.0,0.0,0.0,750,1125
20,no,23,owner,12,37,married,no_rec,fixed,45,165.0,5000.0,0.0,900,1694
21,no,45,owner,30,64,married,no_rec,freelance,45,157.0,20000.0,0.0,1000,1588
22,yes,3,owner,60,35,married,yes_rec,fixed,60,143.0,7000.0,0.0,2100,3038
23,no,10,owner,36,55,married,no_rec,fixed,60,70.0,4000.0,0.0,1000,1436
24,yes,0,owner,60,32,married,yes_rec,fixed,35,75.0,4500.0,1000.0,900,1084
25,no,5,owner,24,42,married,no_rec,fixed,45,113.0,7100.0,0.0,1800,3669
26,no,2,rent,36,24,married,no_rec,fixed,71,113.0,0.0,0.0,700,1338
27,no,10,owner,60,35,separated,no_rec,fixed,35,300.0,5000.0,2500.0,1350,1369
28,yes,12,rent,36,36,married,yes_rec,fixed,74,140.0,0.0,0.0,1400,1725
29,no,5,owner,60,27,married,no_rec,fixed,45,135.0,5000.0,1400.0,1600,1650
